Current (A),Voltage (V)
0.0025909090909090908,1.8800000000000003
0.002818181818181818,1.8199999999999998
0.0027727272727272726,1.8400000000000003
0.002727272727272727,1.85
0.002818181818181818,1.83
0.002818181818181818,1.8399999999999999
0.0029090909090909093,1.8199999999999998
0.002818181818181818,1.85
0.0029090909090909093,1.8399999999999999
0.0029090909090909093,1.83
0.0029090909090909093,1.83
0.0028636363636363638,1.83
0.0029090909090909093,1.85
0.0029545454545454545,1.83
0.003,1.8399999999999999
0.003,1.8199999999999998
0.0029545454545454545,1.85
0.0029545454545454545,1.8400000000000003
0.0029545454545454545,1.8599999999999999
0.003,1.8399999999999999
0.003,1.8399999999999999
0.0030454545454545456,1.79
0.003,1.8499999999999996
0.003090909090909091,1.8299999999999996
0.003,1.8599999999999999
0.0030454545454545456,1.8399999999999999
0.0029545454545454545,1.8200000000000003
0.003090909090909091,1.8499999999999996
0.003090909090909091,1.8399999999999999
0.003136363636363636,1.8399999999999999
0.003136363636363636,1.8399999999999999
0.0031818181818181815,1.84
0.0031818181818181815,1.78
0.003136363636363636,1.8599999999999999
0.003227272727272727,1.8399999999999999
0.0031818181818181815,1.8299999999999998
0.003227272727272727,1.85
0.003227272727272727,1.7999999999999998
0.003227272727272727,1.85
0.003227272727272727,1.85
0.0032727272727272726,1.8299999999999998
0.003318181818181818,1.83
0.003409090909090909,1.81
0.003318181818181818,1.8399999999999999
0.003318181818181818,1.8599999999999999
0.003,1.92
0.003363636363636364,1.84
0.003363636363636364,1.84
0.003363636363636364,1.8499999999999999
0.003363636363636364,1.8499999999999999
0.003409090909090909,1.85
0.003136363636363636,1.9100000000000001
0.003409090909090909,1.85
0.003227272727272727,1.8900000000000001
0.003409090909090909,1.81
0.0035,1.8399999999999999
0.0034545454545454545,1.86
0.0034545454545454545,1.86
0.0035,1.85
0.0035,1.85
0.0035454545454545456,1.7699999999999998
0.0035454545454545456,1.8499999999999999
0.0035454545454545456,1.8
0.0035454545454545456,1.86
0.0035454545454545456,1.86
0.0035454545454545456,1.8699999999999999
0.0035909090909090912,1.8599999999999999
0.003909090909090909,1.79
0.0036363636363636364,1.8499999999999999
0.0035909090909090912,1.8599999999999999
0.0036363636363636364,1.86
0.0036363636363636364,1.8499999999999999
0.0036363636363636364,1.86
0.003681818181818182,1.8599999999999999
0.003681818181818182,1.8199999999999998
0.0036363636363636364,1.82
0.003681818181818182,1.8599999999999999
0.003727272727272727,1.85
0.003727272727272727,1.8600000000000003
0.0037727272727272726,1.85
0.0037727272727272726,1.8599999999999999
0.0037727272727272726,1.8599999999999999
0.0037727272727272726,1.87
0.0037727272727272726,1.87
0.0038181818181818182,1.87
0.0038636363636363634,1.8599999999999999
0.0038636363636363634,1.8599999999999999
0.0038636363636363634,1.8599999999999999
0.0038636363636363634,1.8599999999999999
0.003727272727272727,1.87
0.003909090909090909,1.8600000000000003
0.0038636363636363634,1.87
0.0038636363636363634,1.88
0.003909090909090909,1.8600000000000003
0.0035,1.8599999999999999
0.003909090909090909,1.87
0.004,1.85
0.004,1.8600000000000003
0.004,1.8600000000000003
0.004045454545454546,1.85
0.004045454545454546,1.8599999999999999
0.004045454545454546,1.8599999999999999
0.004045454545454546,1.8599999999999999
0.0038636363636363634,1.9
0.004090909090909091,1.8599999999999999
0.004090909090909091,1.8599999999999999
0.004136363636363637,1.8599999999999999
0.004090909090909091,1.87
0.004136363636363637,1.8599999999999999
0.004045454545454546,1.88
0.0039545454545454545,1.9
0.004181818181818182,1.8599999999999999
0.004136363636363637,1.8699999999999997
0.004181818181818182,1.8599999999999999
0.004181818181818182,1.87
0.004227272727272727,1.8499999999999996
0.004227272727272727,1.8599999999999999
0.004227272727272727,1.8699999999999997
0.004272727272727273,1.8599999999999999
0.004318181818181818,1.84
0.004318181818181818,1.8499999999999999
0.004318181818181818,1.8499999999999999
0.004318181818181818,1.82
0.004318181818181818,1.8800000000000001
0.004318181818181818,1.8699999999999999
0.004318181818181818,1.86
0.004363636363636364,1.87
0.004363636363636364,1.7999999999999998
0.004363636363636364,1.8599999999999999
0.004363636363636364,1.8599999999999999
0.004409090909090909,1.84
0.004318181818181818,1.9000000000000001
0.004409090909090909,1.8699999999999999
0.0045,1.86
0.004318181818181818,1.9000000000000001
0.004363636363636364,1.8900000000000001
0.004863636363636364,1.7899999999999998
0.0045,1.8699999999999999
0.0045,1.8699999999999999
0.0045,1.8800000000000001
0.004545454545454545,1.85
0.0045,1.89
0.0047272727272727275,1.83
0.004590909090909091,1.86
0.0045,1.8800000000000001
0.004636363636363636,1.8599999999999999
0.004590909090909091,1.86
0.004590909090909091,1.8499999999999999
0.004636363636363636,1.88
0.004681818181818182,1.8499999999999999
0.004545454545454545,1.9100000000000001
0.004636363636363636,1.88
0.004681818181818182,1.8800000000000001
0.005090909090909091,1.7799999999999998
0.004681818181818182,1.8800000000000001
0.0047272727272727275,1.87
0.004681818181818182,1.8800000000000001
0.005136363636363636,1.7600000000000002
0.004681818181818182,1.8800000000000001
0.0047272727272727275,1.87
0.004681818181818182,1.86
0.004681818181818182,1.8699999999999999
0.004636363636363636,1.87
0.004681818181818182,1.8800000000000001
0.004681818181818182,1.8699999999999999
0.0047272727272727275,1.87
0.004681818181818182,1.86
0.0047272727272727275,1.8599999999999999
0.004681818181818182,1.86
0.0047272727272727275,1.85
0.004681818181818182,1.86
0.0047272727272727275,1.85
0.004681818181818182,1.8800000000000001
0.0047272727272727275,1.87
0.004681818181818182,1.86
0.004818181818181819,1.85
0.004681818181818182,1.8699999999999999
0.004681818181818182,1.8800000000000001
0.0047272727272727275,1.85
0.004681818181818182,1.8699999999999999
0.004681818181818182,1.89
0.004681818181818182,1.8699999999999999
0.0047272727272727275,1.87
0.004636363636363636,1.8900000000000001
0.0047272727272727275,1.8599999999999999
0.0047272727272727275,1.85
0.004772727272727273,1.84
0.0047272727272727275,1.8599999999999999
0.004681818181818182,1.8699999999999999
0.004772727272727273,1.86
0.004636363636363636,1.88
0.004681818181818182,1.8800000000000001
0.004681818181818182,1.86
0.004681818181818182,1.8800000000000001
0.004681818181818182,1.8699999999999999
0.0047272727272727275,1.87
0.0047272727272727275,1.87
0.004681818181818182,1.8699999999999999
0.0047272727272727275,1.8599999999999999
0.0047272727272727275,1.87
0.0047272727272727275,1.87
0.004681818181818182,1.86
0.0047272727272727275,1.8599999999999999
0.0047272727272727275,1.85
0.0047272727272727275,1.8599999999999999
0.004681818181818182,1.89
0.004681818181818182,1.8699999999999999
0.004681818181818182,1.8800000000000001
0.004681818181818182,1.8699999999999999
0.004636363636363636,1.88
0.0047272727272727275,1.87
0.004681818181818182,1.8800000000000001
0.005136363636363636,1.7800000000000002
0.004681818181818182,1.8699999999999999
0.004681818181818182,1.8699999999999999
0.004681818181818182,1.86
0.004681818181818182,1.8800000000000001
0.0047272727272727275,1.87
0.004681818181818182,1.89
0.004681818181818182,1.8800000000000001
0.0047272727272727275,1.8599999999999999
0.004772727272727273,1.8499999999999999
0.004681818181818182,1.93
0.0047272727272727275,1.87
0.004681818181818182,1.8699999999999999
0.0047272727272727275,1.87
0.0047272727272727275,1.87
0.0047272727272727275,1.8599999999999999
0.004681818181818182,1.89
0.004772727272727273,1.8499999999999999
0.0047272727272727275,1.92
0.004681818181818182,1.86
0.004681818181818182,1.8699999999999999
0.005090909090909091,1.7799999999999998
0.004681818181818182,1.8699999999999999
0.004681818181818182,1.8800000000000001
0.0047272727272727275,1.8599999999999999
0.004681818181818182,1.86
0.004681818181818182,1.86
0.004681818181818182,1.8800000000000001
0.004772727272727273,1.8499999999999999
0.0047272727272727275,1.8599999999999999
0.004681818181818182,1.8699999999999999
0.0047272727272727275,1.8599999999999999
0.004681818181818182,1.86
0.0047272727272727275,1.8599999999999999
0.004681818181818182,1.8699999999999999
0.004636363636363636,1.87
0.0047272727272727275,1.87
0.004863636363636364,1.84
0.004636363636363636,1.8900000000000001
0.0047272727272727275,1.87
0.0047272727272727275,1.8599999999999999
0.00490909090909091,1.8199999999999998
0.0047272727272727275,1.8599999999999999
0.004681818181818182,1.8800000000000001
0.004681818181818182,1.8699999999999999
0.0047272727272727275,1.87
